Normalized microRNA counts            		Counts for each miRNA were tabulated and adjusted to counts per million miRNAs passing the mismatch filter.																																				
																																						
"Abbreviations: HC, healthy controls; GBM, glioblastoma; GII-III, glioma grade II-III"																																						
miRNA	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HC8	HC9	HC10	HC11	HC12	HC13	HC14	HC15	HC16	GBM1	GBM2	GBM3	GBM4	GBM5	GBM6	GBM7	GBM8	GBM9	GBM10	GBM11	GBM12	GII-III.1	GII-III.2	GII-III.3	GII-III.4	GII-III.5	GII-III.6	GII-III.7	GII-III.8	GII-III.9	GII-III.10
hsa-let-7i-5p	37865.7	41712.2	43668.6	61233.4	49999.5	32793.7	90691.1	88634.3	55313.4	43933.7	40446.2	43942.3	46532	59498.5	44365.5	66236.1	61506.3	66388.2	63680.9	66111.8	53776.8	74875.1	67698.3	74798.3	57518	63803.3	76624.1	108776.4	53240.3	63818.9	73266.4	85204.6	56708.2	59097.2	57669.4	103652.5	77403.7	127909.9
hsa-miR-1	629.1	429.2	962.1	350.3	3044	169	105.2	130.3	184.2	452.8	969.5	1876.6	694	203.3	1370.9	525.3	215.6	200.2	2209.8	125.2	3183.5	112.3	320.3	25	112.6	96.9	794.5	322.3	1057.7	76.3	130.2	298.6	51.3	1196	255.6	929.3	285.6	142
hsa-miR-100-5p	563.8	227	100.8	138.5	185.4	3791.9	999.6	512.9	449.8	212.4	215.5	214.9	114.7	393	238.4	154.9	125.6	594.8	106.4	255.8	801.2	494.1	354.2	952.8	307.3	636.5	517.8	705.5	479.6	294.1	178.6	375.4	572.3	454.4	518.9	380.1	237	702.5
hsa-miR-101-3p	23405.7	12315.2	20356.9	16817.1	13600.5	16714.7	18895.2	13788.4	8454.4	15097.4	12926.3	20458.9	11118.7	13941.7	11656.3	8455.6	14528.6	22782.6	14233	24170.1	17874.4	10274.5	13027.2	23074.4	11886.8	12661	22640	21158.6	19094	18356.9	17669.9	20799.9	10391	15141.5	16041.6	14322.9	9417.6	13776.7
hsa-miR-101-5p	2.4	0	0.6	2.2	0	1.2	2.1	4.1	0	0	1.3	0.7	0	6.4	3.7	0.3	0	0	0	0.8	0	0	0	0	2.7	0	0	0	0	0	0.8	0	4.3	0	0	0	0	0
hsa-miR-103a-2-5p	0	0	0.6	0.4	0	0	0	0	0	0	0.3	0	0.2	0	1.1	0	0	0	0	0.8	2.4	0	7.1	0	0	0	0	0	0	0	1.1	0	0	0	0	7.6	0	0
hsa-miR-103a-3p	10970.9	15823.2	12593.7	9364.3	10658	6716.4	14365.9	13149.4	9393.2	12341.2	11343	10824	10883.7	8289.8	13616.8	17807.1	11817.8	9408.3	20656.9	6504	20906.6	14979.5	15915	8945.2	35264	8662.1	30194.7	15460	18112.6	18574.8	50878.8	52281.3	19257.2	12691.4	37211.9	21561.3	10870.4	12425.9
hsa-miR-105-5p	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-106a-3p	2.4	4.1	0.6	0	0	2.7	0	0	0	2.8	0.6	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0.8	3	3.2	0	1.1	0	4.3	0.5	0	0	3.6	0
hsa-miR-106a-5p	108.9	82.5	71.1	65.2	66.3	224.6	237.6	106.5	95.1	184.5	154.7	143.3	38.9	83.6	141.3	89.5	104.2	154.9	148.1	104.1	137.1	426.7	116.7	129	863.8	207.6	501.7	228.1	271.6	207	346.4	375.4	140.9	75.6	166.3	146.3	109	68.1
hsa-miR-106b-3p	1335.7	1390.8	1348.4	596.7	1253.5	618.6	3180.5	2073.2	1053.6	556.3	478.7	694.1	2026.1	415.5	470.6	1785.4	1132.4	1838.4	1460.2	2028	3521.5	2818.5	2574.6	2612.8	2717.4	4718.5	3291	3725.1	1558	2941.5	3016	3207.9	2857.2	1189	3020.3	2478.1	3051.5	3966.2
hsa-miR-106b-5p	343.6	239.4	264	183.9	130.2	658.3	855.2	649.4	486	480.8	491	295.3	173.6	177.6	471.4	186.7	170.6	301	194.3	390.8	295.4	550.2	206.6	299.6	1335.1	913.3	613.8	872.7	192.2	1209.3	818.5	784.9	294.7	181.7	288.5	309.8	572.4	678.2
hsa-miR-107	186.3	235.2	211.6	195.2	95.8	240.2	544.7	452.9	292.8	349.4	331.3	251.1	171.2	173.6	407.7	187.2	137.2	181.2	187.8	126	236.3	460.4	207.8	224.7	917.8	567.3	447.7	513.9	171.5	544.7	763	836.1	337.4	143.6	296.7	410.5	293.9	552.5
hsa-miR-10a-3p	31.5	53.7	19.8	12.1	8.7	52.6	14.7	21.7	46.8	36.3	21.3	31.8	7.6	15.3	33.8	18.4	15.4	20.5	2.8	12.5	11.8	56.1	17.3	20.8	25.3	13.8	20.2	18.2	31.8	21.8	21.4	17.1	17.1	19	18.8	28.5	16.6	10.5
hsa-miR-10a-5p	4498.2	5220.7	3203.3	3594.2	4593.9	5731.4	1471.4	1503.4	3746.4	3633.9	2581.7	4220.8	1739.9	4600.6	3653.7	1838.1	3374.2	2934.4	1643.4	2461	2469.8	1628.2	2868.1	1963.8	2134.2	982.4	2084.3	1760.7	6709.8	762.6	1514.7	895.8	1238.5	4712.5	3582	2381.1	1436.3	1298.8
hsa-miR-10b-3p	24.2	24.8	8.3	4.9	6.3	38.2	28	9.3	114.7	8.4	10.4	8.7	4.7	3.2	15.2	6.6	15.4	10.2	3.7	8.2	4.7	0	11.9	0	20	55.3	21	33.5	31.8	43.6	18.8	0	8.5	14.5	20.6	22.8	34.4	17
hsa-miR-10b-5p	7576.1	9380.8	3142.1	5520.1	6176.4	15522.2	3253.4	2352.3	7529.1	5210.4	4343.3	4627.5	1598.6	6809.3	6149.8	2387.3	4856.6	4005.6	1675.8	3876.4	3299.3	2481.6	5963.6	5920.5	2326.2	2421.5	4057.3	3557.9	12362	1045.9	1847.3	904.3	1093.3	6330.4	6714	3361.7	1668.5	2394.8
hsa-miR-1178-3p	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1179	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1180-3p	48.4	37.1	23.7	21.6	20.3	68.5	234.1	95.1	75.5	30.7	31.4	39.1	25.2	16.9	18.6	55.9	16.5	68.7	25	73.5	106.4	336.9	149.4	174.7	168.6	774.9	225	222	28.6	207	76.9	102.4	111	15	62.9	119.7	359.1	458.4
hsa-miR-1180-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1183	2.4	4.1	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	11.2	15.5	4.2	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0
hsa-miR-1185-1-3p	53.2	28.9	102.5	151.5	50.2	95	87.6	217.1	10.6	39.1	28.1	144.7	82.1	14.5	175.1	49.1	49.4	11.7	30.5	16.8	52	22.5	56	4.2	26	0	6.5	130.8	44.5	76.3	136.2	145	72.6	147.6	25.9	117.8	91.2	12.2
hsa-miR-1185-2-3p	9.7	4.1	14.3	24.3	4.8	7.8	5.6	17.6	3	11.2	3.5	18.8	11.7	4	27.1	11.5	8.2	0	3.7	5.1	4.7	11.2	4.2	0	9.3	0	0	18.2	14.3	43.6	17.3	25.6	21.4	17.5	9.4	19	17.8	0.8
hsa-miR-1185-5p	0	0	2.2	0	0.3	0	0.7	0	0	2.8	0.3	0	0.8	0	2.4	0	0.5	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	3	0	0	0	0
hsa-miR-1193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1197	16.9	24.8	63.4	37.3	20.6	46.3	0	22.7	13.6	5.6	5.1	28.9	22.9	3.2	31.2	15	7.1	1.5	2.8	4.3	18.9	0	7.7	4.2	0	0	3.2	12.2	17.5	0	14.6	0	12.8	30.5	14.1	11.4	14.2	0.8
hsa-miR-1207-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-122-3p	2.4	0	5	0	0	56.5	0	0	0	0	9.8	2.2	0	0.8	9.5	0	0	2.9	1.9	0	0	0	0	0	4.7	0	0	3	1.6	0	0	0	0	0	0	0	0	0
hsa-miR-122-5p	3457.7	2699.1	1887.9	1032.9	1391.1	54986.4	6935.9	8445.7	10975.1	1702.3	6208.3	3585.3	780.2	858.4	3430.3	1245.2	1768.3	2504.8	2271.8	4337.6	4249.4	29498.6	6316	13600.8	13009.3	17324.2	13750.3	9673.1	8177.3	4651.9	1265.5	1586.9	133194.7	2017.7	4504.6	5252.6	7912.6	15069
hsa-miR-1224-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1224-5p	2.4	0	3.3	2.2	0.6	0.8	12.6	6.2	7.5	0	0.3	0	0.8	0	0	0.6	0.5	8.8	0	4.7	0	22.5	10.1	4.2	0.7	69.2	10.5	9.1	0	0	0	0	25.6	0	0	5.7	93.6	11.4
hsa-miR-1225-3p	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1225-5p	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1	0	0	0	0	3.8	0	0
hsa-miR-1226-3p	12.1	4.1	29.2	16.6	13.1	14.8	10.5	5.2	15.1	30.7	28.3	15.9	25.6	13.7	15.8	25.7	21.4	27.8	28.7	6.7	21.3	11.2	16.1	0	6.7	0	12.9	6.1	14.3	0	15	8.5	25.6	20	14.1	5.7	24.9	3.2
hsa-miR-1226-5p	0	0	0	1.8	0.3	0	2.1	3.1	0	0	0.1	0	0.8	0	0	0	0	0	0	0.8	2.4	0	2.4	0	1.3	0	0.8	3	0	0	0	0	0	0	0	0	2.4	0
hsa-miR-1227-3p	0	0	0	0	0.3	0	0	0	0	0	1	0.7	0.2	0.8	0.9	1.3	0	0	0	0	0	0	0	0	0	0	0	0	3.2	0	0	0	0	1	0	0	1.2	0
hsa-miR-1228-3p	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1228-5p	0	0	0	0.9	0	0.8	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.9	0	0	0	0	0	0	0	0
hsa-miR-1229-3p	9.7	28.9	14.9	27	20	8.6	1.4	6.2	3	30.7	25.5	15.2	23.3	34.6	17.3	24.1	15.9	4.4	9.3	7.4	9.5	0	11.9	4.2	2.7	0	13.7	0	4.8	0	4.5	0	8.5	13.5	31.1	3.8	19	0.8
hsa-miR-1229-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1233-3p	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0
hsa-miR-1233-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1234-3p	0	0	0	0.4	0.6	0.8	2.1	0	0	0	1.1	0	0.2	0.8	0.7	0	0	0	0.9	0	0	0	0	4.2	0	0	0.8	0	0	0	0	0	0	1.5	0	0	0	0.8
hsa-miR-1236-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1236-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0
hsa-miR-1237-3p	0	0	0	0	0	3.1	0	0	0	2.8	1	0	1	0	0.7	0	1.1	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1237-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1238-3p	0	0	1.7	2.2	0.9	0.4	0	6.2	0	2.8	1.4	1.4	3.7	2.4	1.1	2.9	0.5	4.4	0	0.4	4.7	0	0.6	4.2	0	0	1.6	0	0	0	3.8	0	0	2.5	0	0	1.2	1.6
hsa-miR-124-3p	0	0	0	3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7	0	0	0	0	0	0	0	0	0	14.1	0	0	0
hsa-miR-124-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1244	0	0	0	0.4	0	0	0	0	0	0	0.1	0	0.2	0	0.7	0	0	0	0	0	0	0	1.2	12.5	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0
hsa-miR-1245a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1245b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1245b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1246	50.8	53.7	7.7	46.3	87.8	17.9	5.6	7.2	119.2	19.6	2.9	10.9	65.7	10.4	13	16	44.4	150.5	71.3	19.2	295.4	67.4	113.7	66.6	12	55.3	43.6	6.1	79.4	76.3	10.1	8.5	34.2	78.6	121	38	21.3	4.1
hsa-miR-1247-3p	0	0	1.1	0	0	0	2.8	0	0	0	0	0	0	0	0.2	0	0	0	0	0	2.4	0	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1247-5p	0	0	0	0	0	0.8	0	0	0	2.8	0.3	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2	0	0	0	1.1	0	0	0	0	0	0	0
hsa-miR-1248	0	4.1	0	0	0.3	0	0	0	0	0	0.3	0	0	0.8	0.2	0.8	0	0	0	0	2.4	22.5	2.4	8.3	0	0	0	0	0	0	0	0	21.4	0	5.3	0	0	0
hsa-miR-1249	0	20.6	7.7	1.3	0.9	5.8	4.9	3.1	3	8.4	9.2	4.3	2.1	2.4	8.5	0.8	4.4	0	0.9	3.1	2.4	0	4.8	0	1.3	0	2.4	0	3.2	0	3	0	8.5	2	8.2	7.6	2.4	2.4
hsa-miR-1250-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1250-5p	14.5	12.4	8.3	32.4	8.4	9.7	39.3	47.6	45.3	14	17.5	10.9	16.6	21.7	15.2	17.3	19.8	4.4	12	9.4	33.1	67.4	14.9	4.2	14.7	13.8	41.1	18.2	6.4	65.4	67.2	25.6	25.6	14	37	24.7	34.4	44.6
hsa-miR-1252-5p	0	0	0	0	0	0	4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1254	12.1	4.1	12.1	13	6.9	5.1	21.7	18.6	15.1	8.4	3.8	15.9	9	8	10.2	12.3	3.3	13.2	2.8	9	14.2	22.5	21.4	20.8	15.3	0	34.7	6.1	7.9	21.8	18.8	25.6	21.4	9.5	14.1	45.6	29.6	23.5
hsa-miR-1255a	7.3	4.1	8.3	2.2	16.1	6.6	11.2	11.4	3	14	9.8	11.6	6.6	12.1	15.2	9.7	21.9	13.2	26.8	13.3	0	0	11.3	37.4	0.7	0	16.1	3	7.9	10.9	8.3	8.5	0	16.5	10	26.6	5.9	11.4
hsa-miR-1255b-5p	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0.5	0	0.9	0	0	0	0.6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
hsa-miR-1256	0	0	0	0.4	0.9	0.8	0.7	0	6	0	0.9	0	1	0	0.7	0.8	3.3	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0.8	0	0	0	0	0	1.2	0
hsa-miR-1258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	1.2	0	0	0
hsa-miR-125a-3p	4.8	4.1	12.1	9.9	23	16.7	56.1	14.5	54.3	19.6	10.5	18.1	25.4	13.7	6.9	27.2	7.1	7.3	26.8	17.2	33.1	67.4	63.7	8.3	56	96.9	29	76	28.6	87.2	19.9	34.1	59.8	16.5	33.5	87.4	65.2	53.5
hsa-miR-125a-5p	3726.3	5563.3	2914.5	1702.4	2983.4	3780.6	2528.6	2063.9	6398.5	2278.2	2095.1	1535.7	2252	1821.3	2340.5	2407.9	1850	1611.9	1837.8	1141.1	2032.5	2616.4	2962.7	1909.7	3354	2449.2	2450.5	2682.1	3133.4	2276.9	3321.1	1501.6	1904.8	2539.7	4211.4	3620.2	2448.3	1823.7
hsa-miR-125b-1-3p	0	0	0	1.8	0.9	2.3	0	0	0	0	0.4	1.4	0	0	1.7	0.2	0	0	0	0.4	9.5	0	0.6	0	20.7	0	0	3	3.2	0	2.3	0	4.3	0.5	4.7	1.9	5.9	0.8
hsa-miR-125b-2-3p	21.8	12.4	9.4	13.5	7.5	25.3	18.2	42.4	25.7	14	9.5	15.9	9.2	9.6	13.2	14.7	13.7	16.1	13.9	15.6	35.5	67.4	17.3	4.2	15.3	96.9	16.9	15.2	46.1	21.8	11.6	25.6	17.1	16.5	31.1	5.7	5.9	26
hsa-miR-125b-5p	445.2	334.3	186.8	114.7	186.3	748.3	486.5	350.5	760.8	257.2	235.6	157.8	141.9	123.8	320.8	187.2	149.2	226.5	85.1	122.8	697.2	258.3	237.5	291.2	418.6	622.7	359.7	529.1	236.6	315.9	297.6	162.1	828.5	192.2	336.7	277.5	306.9	283.9
hsa-miR-126-3p	42688.2	52038.2	32773.2	22353.8	39180.3	35098.4	42187.8	41029	61628.9	31765.7	31991.4	31555.8	40107.3	20535.6	30868.9	27385	45476	32534.3	28898.2	25137.5	30554.1	39054.5	26839.7	19292.5	30975.5	28560	35075.5	36506.1	56329.2	42389.8	35371.4	31455.8	31689.6	43588.4	40267.5	40973.4	42252.8	29959.5
hsa-miR-126-5p	2656.8	2546.4	2429.6	2528.9	1434.7	5367.8	1313	1220.1	2934.3	4651.4	5411.5	2868.8	1845.5	3026.1	5002.3	1226.3	2148.5	1468.7	1491.7	1108.7	924.1	1538.4	1016.7	674	1612.3	857.9	880.8	945.7	2288.5	1252.8	1390.5	1348	730.3	2257.4	1672.9	1440.5	767.9	732.6
hsa-miR-1260a	4.8	0	13.2	8.5	2.4	5.5	7	3.1	12.1	11.2	16.5	4.3	5.1	8	13.7	5	3.8	0	6.5	4.3	2.4	0	6	0	12	69.2	4.8	3	0	0	8.6	0	12.8	11	2.9	1.9	10.7	1.6
hsa-miR-1260b	16.9	16.5	22.6	22.9	8.1	21	4.2	4.1	25.7	30.7	46.1	23.9	13.9	24.9	31.9	11	8.8	7.3	4.6	4.3	9.5	11.2	7.7	4.2	7.3	0	6.5	3	4.8	0	13.9	0	17.1	6.5	12.3	15.2	7.1	8.1
hsa-miR-1261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1262	0	0	0	0	0	0	0.7	0	0	2.8	0	0	0	0	0	0	0	0	0	1.2	2.4	0	0	4.2	2.7	0	0	0	3.2	0	0.4	0	0	0	0	0	5.9	0
hsa-miR-1264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1266-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1266-5p	0	0	0	0.4	0	0	0	0	0	0	0	0	0.6	0.8	0	0	0	0	0	0	0	0	0	0	0	0	1.6	9.1	0	0	1.1	8.5	0	0	0	0	0	0.8
hsa-miR-1267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
